timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-08-05,1341.0,1348.65,1335.3,1336.5,1333.985,15855,0.0000,1.0
2020-08-04,1339.9,1346.95,1336.0,1339.65,1337.1291,15340,0.0000,1.0
2020-08-03,1336.4,1361.0,1330.0,1339.25,1336.7299,41733,0.0000,1.0
2020-07-31,1341.5,1345.0,1331.65,1336.4,1333.8852,42525,0.0000,1.0
2020-07-30,1353.0,1359.0,1340.0,1340.8,1338.2769,14767,0.0000,1.0
2020-07-29,1347.0,1368.75,1343.95,1352.3,1349.7553,18706,0.0000,1.0
2020-07-28,1344.85,1353.0,1340.15,1345.35,1342.8184,42254,0.0000,1.0
2020-07-27,1358.0,1362.05,1342.2,1345.2,1342.6687,52895,0.0000,1.0
2020-07-24,1368.0,1371.9,1356.8,1358.0,1355.4446,25588,0.0000,1.0
2020-07-23,1372.0,1385.15,1366.0,1371.25,1368.6696,20088,0.0000,1.0
2020-07-22,1399.0,1399.0,1370.0,1372.6,1370.0171,55929,0.0000,1.0
2020-07-21,1380.0,1411.4,1376.8,1390.3,1387.6838,60248,0.0000,1.0
2020-07-20,1387.95,1389.05,1371.7,1376.15,1373.5604,28496,0.0000,1.0
2020-07-17,1379.0,1400.0,1367.0,1370.5,1367.9211,33837,0.0000,1.0
2020-07-16,1351.95,1378.95,1335.0,1363.25,1360.6847,34038,0.0000,1.0
2020-07-15,1363.0,1377.95,1349.5,1351.95,1349.406,86217,0.0000,1.0
2020-07-14,1390.0,1390.0,1356.0,1362.85,1360.2855,42542,0.0000,1.0
2020-07-13,1442.15,1443.0,1387.05,1396.35,1393.7224,175676,0.0000,1.0
2020-07-10,1372.0,1442.0,1360.5,1401.15,1398.5134,223704,0.0000,1.0
2020-07-09,1398.95,1398.95,1381.65,1385.4,1382.793,64498,0.0000,1.0
2020-07-08,1400.0,1413.35,1385.05,1390.55,1387.9333,28099,0.0000,1.0
2020-07-07,1414.0,1420.0,1390.0,1396.65,1394.0219,29997,0.0000,1.0
2020-07-06,1408.85,1414.5,1394.7,1400.2,1397.5652,32632,0.0000,1.0
2020-07-03,1431.9,1432.15,1399.0,1404.85,1402.2064,43503,0.0000,1.0
2020-07-02,1440.0,1462.8,1395.35,1411.9,1409.2432,272038,0.0000,1.0
2020-07-01,1360.5,1376.6,1356.0,1363.35,1360.7845,63024,0.0000,1.0
2020-06-30,1370.0,1385.0,1356.2,1359.2,1356.6423,41556,0.0000,1.0
